PLATFORM_NUMBER,CYCLE_NUMBER,PLATFORM_TYPE,DIRECTION,time,latitude,longitude,PRES,PRES_QC,TEMP,TEMP_QC,PSAL,PSAL_QC
,,,,UTC,degrees_north,degrees_east,decibar,,degree_Celsius,,PSU,
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,269.9,1,12.216,1,35.036,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,289.9,1,11.864,1,35.01,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,309.7,1,11.6,1,34.993,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,329.8,1,11.316,1,34.979,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,350.1,1,10.965,1,34.955,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,370.1,1,10.741,1,34.949,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,389.9,1,10.549,1,34.939,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,410.1,1,10.413,1,34.933,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,429.9,1,10.283,1,34.927,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,450.3,1,10.169,1,34.928,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,470.0,1,10.027,1,34.933,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,490.0,1,9.831,1,34.921,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,512.7,1,9.597,1,34.903,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,537.8,1,9.336,1,34.874,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,562.2,1,9.178,1,34.869,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,587.5,1,9.028,1,34.865,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,612.7,1,8.87,1,34.873,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,637.5,1,8.746,1,34.878,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,662.6,1,8.452,1,34.861,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,687.6,1,8.317,1,34.863,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,712.5,1,8.248,1,34.877,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,737.5,1,8.024,1,34.865,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,762.2,1,7.814,1,34.869,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,787.3,1,7.695,1,34.881,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,812.7,1,7.776,1,34.931,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,837.6,1,7.675,1,34.948,1
